index,fullpathname,classname,library,label,layer_number
161,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\helper\UrlEncodingHelper.java,UrlEncodingHelper,k9mail-library,Coordinator,3.3.
162,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\Base64.DecoderException.java,DecoderException,k9mail-library,Information Holder,3.4.
163,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\Base64.EncoderException.java,EncoderException,k9mail-library,Information Holder,3.4.
164,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\Base64.java,Base64,k9mail-library,Service Provider,3.4.
165,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\Base64OutputStream.java,Base64OutputStream,k9mail-library,Coordinator,3.3.
166,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\CountingOutputStream.java,CountingOutputStream,k9mail-library,Information Holder,3.3.
167,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\EOLConvertingOutputStream.java,EOLConvertingOutputStream,k9mail-library,Service Provider,3.3.
168,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\FixedLengthInputStream.java,FixedLengthInputStream,k9mail-library,Coordinator,3.3.
169,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\Hex.java,Hex,k9mail-library,Service Provider,3.4.
170,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\LineWrapOutputStream.java,LineWrapOutputStream,k9mail-library,Service Provider,3.3.
171,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\PeekableInputStream.java,PeekableInputStream,k9mail-library,Service Provider,3.3.
172,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\SignSafeOutputStream.State.java,State,k9mail-library,Information Holder,3.2.3.
173,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\SignSafeOutputStream.java,SignSafeOutputStream,k9mail-library,Service Provider,3.2.3.
174,new_version\k9mail-library\src\main\java\com\fsck\k9\mail\filter\SmtpDataStuffing.java,SmtpDataStuffing,k9mail-library,Service Provider,3.2.3.
175,new_version\k9mail\src\main\java\com\fsck\k9\Account.DeletePolicy.java,DeletePolicy,k9mail,Information Holder,3.3.
176,new_version\k9mail\src\main\java\com\fsck\k9\Account.Expunge.java,Expunge,k9mail,Information Holder,3.3.
177,new_version\k9mail\src\main\java\com\fsck\k9\Account.FolderMode.java,FolderMode,k9mail,Information Holder,3.3.
178,new_version\k9mail\src\main\java\com\fsck\k9\Account.MessageFormat.java,MessageFormat,k9mail,Information Holder,3.3.
179,new_version\k9mail\src\main\java\com\fsck\k9\Account.QuoteStyle.java,QuoteStyle,k9mail,Information Holder,3.3.
180,new_version\k9mail\src\main\java\com\fsck\k9\Account.Searchable.java,Searchable,k9mail,Information Holder,3.3.
181,new_version\k9mail\src\main\java\com\fsck\k9\Account.ShowPictures.java,ShowPictures,k9mail,Information Holder,3.3.
182,new_version\k9mail\src\main\java\com\fsck\k9\Account.SortType.java,SortType,k9mail,Information Holder,3.3.
183,new_version\k9mail\src\main\java\com\fsck\k9\Account.java,Account,k9mail,Information Holder,3.4.
184,new_version\k9mail\src\main\java\com\fsck\k9\AccountStats.java,AccountStats,k9mail,Information Holder,3.4.
185,new_version\k9mail\src\main\java\com\fsck\k9\BaseAccount.java,BaseAccount,k9mail,Information Holder,3.4.
186,new_version\k9mail\src\main\java\com\fsck\k9\Clock.java,Clock,k9mail,Service Provider,3.3.
187,new_version\k9mail\src\main\java\com\fsck\k9\EmailAddressValidator.java,EmailAddressValidator,k9mail,Service Provider,3.3.
188,new_version\k9mail\src\main\java\com\fsck\k9\FontSizes.java,FontSizes,k9mail,Information Holder,3.4.
189,new_version\k9mail\src\main\java\com\fsck\k9\Globals.java,Globals,k9mail,Information Holder,3.4.
190,new_version\k9mail\src\main\java\com\fsck\k9\Identity.java,Identity,k9mail,Information Holder,3.4.
191,new_version\k9mail\src\main\java\com\fsck\k9\K9.ApplicationAware.java,ApplicationAware,k9mail,Service Provider,3.3.
192,new_version\k9mail\src\main\java\com\fsck\k9\K9.BACKGROUND_OPS.java,BACKGROUND_OPS,k9mail,Information Holder,3.4.
